fold,model,mae,rmse,n
1,naive_t-24,0.2305060119047619,0.328479129302761,168
1,naive_t-168,0.24222857142857143,0.31352007353331196,168
2,naive_t-24,0.07797559523809523,0.1193837927801401,168
2,naive_t-168,0.0733972619047619,0.09175332125816897,168
3,naive_t-24,0.04745476190476191,0.06071310398289726,168
3,naive_t-168,0.11621178571428571,0.15182415013523282,168
4,naive_t-24,0.022147440476190477,0.02774527594924945,168
4,naive_t-168,0.02943202380952381,0.035260132434319,168
5,naive_t-24,0.26965982142857137,0.34955980804349457,168
5,naive_t-168,0.2938874404761905,0.39682316259365874,168
6,naive_t-24,0.2571939880952381,0.36088147304386453,168
6,naive_t-168,0.5182658333333333,0.7451713850765505,168
7,naive_t-24,0.1276763095238095,0.16310928725638435,168
7,naive_t-168,0.13741089285714286,0.19173523706905984,168
8,naive_t-24,0.12824166666666667,0.20006159988268377,168
8,naive_t-168,0.18132488095238092,0.25325014911855714,168
9,naive_t-24,0.06278095238095238,0.09162472451072727,168
9,naive_t-168,0.06930333333333334,0.08638063781476561,168
10,naive_t-24,0.13139565476190476,0.20871286427455896,168
10,naive_t-168,0.1860840476190476,0.2748243277532031,168
11,naive_t-24,0.20779041666666664,0.2861684755451469,168
11,naive_t-168,0.277665,0.3687327267011652,168
12,naive_t-24,0.11360523809523812,0.17599373243033942,168
12,naive_t-168,0.09994565476190476,0.15497281907029775,168
13,naive_t-24,0.07336089285714285,0.12253474407916971,168
13,naive_t-168,0.1472139285714286,0.22464866468872804,168
14,naive_t-24,0.06657232142857143,0.14787811212560611,168
14,naive_t-168,0.06626113095238095,0.11485324517307169,168
15,naive_t-24,0.0319175,0.05474557117334002,168
15,naive_t-168,0.08724684523809524,0.11568106640931021,168
16,naive_t-24,0.04470869047619048,0.0711003791011928,168
16,naive_t-168,0.11641988095238096,0.17425623292808126,168
17,naive_t-24,0.09811700598802395,0.13243032919621534,167
17,naive_t-168,0.20335862275449104,0.26569551255566126,167
18,naive_t-24,0.244135,0.311751901302103,168
18,naive_t-168,0.4658023214285714,0.5620299697848056,168
19,naive_t-24,0.13889172619047618,0.18720011368821587,168
19,naive_t-168,0.14438791666666667,0.19354388717727689,168
20,naive_t-24,0.501421130952381,0.9033012348216718,168
20,naive_t-168,0.571546369047619,0.9937052266424624,168
21,naive_t-24,0.15038113095238095,0.25223425089704854,168
21,naive_t-168,0.7586426785714286,0.8318868310893501,168
22,naive_t-24,0.1333677380952381,0.19598798844086146,168
22,naive_t-168,0.11001839285714286,0.1673595708863461,168
23,naive_t-24,0.21814511904761902,0.364391308673663,168
23,naive_t-168,0.3151057738095238,0.4633170154742606,168
24,naive_t-24,0.2275222023809524,0.28908258578504287,168
24,naive_t-168,0.17417761904761905,0.2187344083912856,168
25,naive_t-24,0.18529571428571426,0.24764017258629792,168
25,naive_t-168,0.19800738095238093,0.25389667884744355,168
26,naive_t-24,0.15663624999999998,0.21178244881386002,168
26,naive_t-168,0.23684059523809525,0.29141636982364333,168
27,naive_t-24,0.18860625,0.2832616959517336,168
27,naive_t-168,0.24269148809523808,0.30968542008383276,168
28,naive_t-24,0.23367142857142856,0.308911957999748,168
28,naive_t-168,0.2388917857142857,0.3090287648057717,168
29,naive_t-24,0.08373630952380953,0.12181411604024661,168
29,naive_t-168,0.1983470238095238,0.28730939505298864,168
30,naive_t-24,0.23740511904761907,0.4027708066541779,168
30,naive_t-168,0.4660582142857143,0.6154535773584661,168
31,naive_t-24,0.1424929166666667,0.22972174854411734,168
31,naive_t-168,0.18600440476190475,0.2570393395405236,168
32,naive_t-24,0.19142113095238097,0.2974329596882776,168
32,naive_t-168,0.2855242261904762,0.4979233453489126,168
33,naive_t-24,0.2550618452380953,0.4082277123162711,168
33,naive_t-168,0.3673197619047619,0.615959529208388,168
34,naive_t-24,0.12554613095238093,0.17655617162110193,168
34,naive_t-168,0.23547970238095237,0.30438450289164726,168
35,naive_t-24,0.15984190476190477,0.24210952878024128,168
35,naive_t-168,0.3031317857142857,0.4123359336061522,168
36,naive_t-24,0.15975023809523808,0.22060793211735436,168
36,naive_t-168,0.15222666666666668,0.21489412639328545,168
37,naive_t-24,0.16708386904761904,0.22992518444283444,168
37,naive_t-168,0.23959898809523808,0.2777742787672085,168
38,naive_t-24,0.17574565476190476,0.29238593166619614,168
38,naive_t-168,0.22071315476190473,0.2674290443220852,168
1,sarima,0.3023065496709562,0.3963474454748554,168
2,sarima,0.06986003703268728,0.08958165891519448,168
3,sarima,0.11144759716769315,0.12917591761374594,168
4,sarima,0.021049439124093065,0.02931515754707152,168
5,sarima,0.3410173307246494,0.4072443030069232,168
6,sarima,0.3059356170146879,0.47363700995454355,168
7,sarima,0.1916191195759186,0.2301231104459305,168
8,sarima,0.18991858257556335,0.2159743029587032,168
9,sarima,0.06129073423660279,0.08142125497973664,168
10,sarima,0.3206266224253067,0.34648929780367005,168
11,sarima,0.340732046364519,0.4363617379173673,168
12,sarima,0.14052285389541416,0.19136302980798248,168
13,sarima,0.12766827477368084,0.15644013770873896,168
14,sarima,0.05159363656053331,0.10684284153936888,168
15,sarima,0.03167529447132195,0.047989679322293526,168
16,sarima,0.07612792071719647,0.10012619694850476,168
17,sarima,0.1983720302400368,0.23501472395110767,167
18,sarima,0.3800679219872247,0.4329479159638877,168
19,sarima,0.09797868779294416,0.1467718951365532,168
20,sarima,0.5927002016623817,0.8696520456366023,168
21,sarima,0.6209914751894845,0.6875400636497427,168
22,sarima,0.17721916231667267,0.21683973449301336,168
23,sarima,0.6645246125810306,0.7597431434756883,168
24,sarima,0.3165238488032377,0.40333979321461255,168
25,sarima,0.16566632061979514,0.22934990066007296,168
26,sarima,0.16942189770375948,0.19181679101756574,168
27,sarima,0.1765746055059171,0.23989537144808767,168
28,sarima,0.23997686082200262,0.28135636637020356,168
29,sarima,0.11117207172091848,0.14355797032067708,168
30,sarima,0.38604484342032175,0.5414063643127469,168
31,sarima,0.10233500573160664,0.1754334906598587,168
32,sarima,0.23389231888069745,0.2987946996253078,168
33,sarima,0.24678655978798528,0.3454882957712217,168
34,sarima,0.46931235720558007,0.49192023185798994,168
35,sarima,0.32477129549430855,0.38130822624101185,168
36,sarima,0.15980883539437649,0.2264237360878511,168
37,sarima,0.47856786200418855,0.5259536087903698,168
38,sarima,0.18034179458685587,0.25775742939369845,168
